sep=,
"Time","Kalman Humi1"
2021-11-22 21:12:00,57.4 %H
2021-11-22 21:15:00,57.4 %H
2021-11-22 21:18:00,57.4 %H
2021-11-22 21:21:00,57.4 %H
2021-11-22 21:24:00,57.4 %H
2021-11-22 21:27:00,57.4 %H
2021-11-22 21:30:00,57.4 %H
2021-11-22 21:33:00,57.4 %H
2021-11-22 21:36:00,57.4 %H
2021-11-22 21:39:00,57.4 %H
2021-11-22 21:42:00,57.4 %H
2021-11-22 21:45:00,57.4 %H
2021-11-22 21:48:00,57.4 %H
2021-11-22 21:51:00,57.4 %H
2021-11-22 21:54:00,57.4 %H
2021-11-22 21:57:00,57.4 %H
2021-11-22 22:00:00,57.4 %H
2021-11-22 22:03:00,57.4 %H
2021-11-22 22:06:00,57.4 %H
2021-11-22 22:09:00,57.4 %H
2021-11-22 22:12:00,57.4 %H
2021-11-22 22:15:00,57.4 %H
2021-11-22 22:18:00,57.4 %H
2021-11-22 22:21:00,57.4 %H
2021-11-22 22:24:00,57.4 %H
2021-11-22 22:27:00,57.4 %H
2021-11-22 22:30:00,57.4 %H
2021-11-22 22:33:00,57.4 %H
2021-11-22 22:36:00,57.4 %H
2021-11-22 22:39:00,57.4 %H
2021-11-22 22:42:00,57.4 %H
2021-11-22 22:45:00,57.4 %H
2021-11-22 22:48:00,57.4 %H
2021-11-22 22:51:00,57.4 %H
2021-11-22 22:54:00,57.4 %H
2021-11-22 22:57:00,57.4 %H
2021-11-22 23:00:00,57.4 %H
2021-11-22 23:03:00,57.4 %H
2021-11-22 23:06:00,57.4 %H
2021-11-22 23:09:00,57.4 %H
2021-11-22 23:12:00,57.4 %H
2021-11-22 23:15:00,57.4 %H
2021-11-22 23:18:00,57.4 %H
2021-11-22 23:21:00,57.4 %H
2021-11-22 23:24:00,57.4 %H
2021-11-22 23:27:00,57.4 %H
2021-11-22 23:30:00,57.4 %H
2021-11-22 23:33:00,57.4 %H
2021-11-22 23:36:00,57.4 %H
2021-11-22 23:39:00,57.4 %H
2021-11-22 23:42:00,57.4 %H
2021-11-22 23:45:00,57.4 %H
2021-11-22 23:48:00,57.4 %H
2021-11-22 23:51:00,57.4 %H
2021-11-22 23:54:00,57.4 %H
2021-11-22 23:57:00,57.4 %H
2021-11-23 00:00:00,57.4 %H
2021-11-23 00:03:00,57.4 %H
2021-11-23 00:06:00,57.4 %H
2021-11-23 00:09:00,57.4 %H
2021-11-23 00:12:00,57.4 %H
2021-11-23 00:15:00,57.4 %H
2021-11-23 00:18:00,57.4 %H
2021-11-23 00:21:00,57.4 %H
2021-11-23 00:24:00,57.4 %H
2021-11-23 00:27:00,57.4 %H
2021-11-23 00:30:00,57.4 %H
2021-11-23 00:33:00,57.4 %H
2021-11-23 00:36:00,57.4 %H
2021-11-23 00:39:00,57.4 %H
2021-11-23 00:42:00,57.4 %H
2021-11-23 00:45:00,57.4 %H
2021-11-23 00:48:00,57.4 %H
2021-11-23 00:51:00,57.4 %H
2021-11-23 00:54:00,57.4 %H
2021-11-23 00:57:00,57.4 %H
2021-11-23 01:00:00,57.4 %H
2021-11-23 01:03:00,57.4 %H
2021-11-23 01:06:00,57.4 %H
2021-11-23 01:09:00,57.4 %H
2021-11-23 01:12:00,57.4 %H
2021-11-23 01:15:00,57.4 %H
2021-11-23 01:18:00,57.4 %H
2021-11-23 01:21:00,57.4 %H
2021-11-23 01:24:00,57.4 %H
2021-11-23 01:27:00,57.4 %H
2021-11-23 01:30:00,57.4 %H
2021-11-23 01:33:00,57.4 %H
2021-11-23 01:36:00,57.4 %H
2021-11-23 01:39:00,57.4 %H
2021-11-23 01:42:00,57.4 %H
2021-11-23 01:45:00,57.4 %H
2021-11-23 01:48:00,57.5 %H
2021-11-23 01:51:00,57.5 %H
2021-11-23 01:54:00,57.5 %H
2021-11-23 01:57:00,57.5 %H
2021-11-23 02:00:00,57.5 %H
2021-11-23 02:03:00,57.5 %H
2021-11-23 02:06:00,57.6 %H
2021-11-23 02:09:00,57.6 %H
2021-11-23 02:12:00,57.6 %H
2021-11-23 02:15:00,57.6 %H
2021-11-23 02:18:00,57.6 %H
2021-11-23 02:21:00,57.6 %H
2021-11-23 02:24:00,57.7 %H
2021-11-23 02:27:00,57.7 %H
2021-11-23 02:30:00,57.7 %H
2021-11-23 02:33:00,57.7 %H
2021-11-23 02:36:00,57.7 %H
2021-11-23 02:39:00,57.7 %H
2021-11-23 02:42:00,57.7 %H
2021-11-23 02:45:00,57.8 %H
2021-11-23 02:48:00,57.8 %H
2021-11-23 02:51:00,57.8 %H
2021-11-23 02:54:00,57.8 %H
2021-11-23 02:57:00,57.8 %H
2021-11-23 03:00:00,57.8 %H
2021-11-23 03:03:00,57.8 %H
2021-11-23 03:06:00,57.8 %H
2021-11-23 03:09:00,57.9 %H
2021-11-23 03:12:00,57.9 %H
2021-11-23 03:15:00,57.9 %H
2021-11-23 03:18:00,57.9 %H
2021-11-23 03:21:00,57.9 %H
2021-11-23 03:24:00,57.9 %H
2021-11-23 03:27:00,57.9 %H
2021-11-23 03:30:00,57.9 %H
2021-11-23 03:33:00,57.9 %H
2021-11-23 03:36:00,57.9 %H
2021-11-23 03:39:00,57.9 %H
2021-11-23 03:42:00,57.9 %H
2021-11-23 03:45:00,57.9 %H
2021-11-23 03:48:00,58.0 %H
2021-11-23 03:51:00,58.0 %H
2021-11-23 03:54:00,58.0 %H
2021-11-23 03:57:00,58.0 %H
2021-11-23 04:00:00,58.0 %H
2021-11-23 04:03:00,58.0 %H
